"genome_id","data_source","contig_length","dtr_length","genes_viral","genes_plasmid","genes_microbial","genes_unknown","biome1","biome2","biome3","gca_name"
"DTR_009239","IMG/M",9577,87,1,0,0,18,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_009277","IMG/M",2430,23,1,0,0,3,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_009281","IMG/M",13583,47,2,1,0,17,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_009285","IMG/M",8748,63,2,0,0,11,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_009446","IMG/M",16637,56,2,1,0,14,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_009557","IMG/M",14058,88,1,0,0,18,"Aquatic","Freshwater","Groundwater",NULL
"DTR_009558","IMG/M",14051,81,1,0,0,18,"Aquatic","Freshwater","Groundwater",NULL
"DTR_009823","IMG/M",9969,77,3,0,0,14,"Aquatic","Non-marine saline","Alkaline",NULL
"DTR_009894","IMG/M",15250,84,4,1,0,15,"Terrestrial","Soil","Loam",NULL
"DTR_009900","IMG/M",9495,40,1,0,0,11,"Terrestrial","Soil","NA",NULL
"DTR_009999","IMG/M",15440,101,4,0,0,19,"Aquatic","Freshwater","Lentic",NULL
"DTR_010005","IMG/M",5799,54,2,0,0,7,"Aquatic","Freshwater","Lentic",NULL
"DTR_010368","IMG/M",5756,50,0,0,0,7,"Terrestrial","Soil","NA",NULL
"DTR_010412","IMG/M",7130,57,1,0,0,6,"Engineered","Solid waste","Composting",NULL
"DTR_010453","IMG/M",10012,56,2,0,0,13,"Aquatic","Marine","Wetlands",NULL
"DTR_010710","IMG/M",4364,89,1,0,0,9,"Host-Associated","Algae","Green algae",NULL
"DTR_010727","IMG/M",7537,49,0,0,0,11,"Host-Associated","Algae","Green algae",NULL
"DTR_010754","IMG/M",4353,185,1,0,0,9,"Host-Associated","Algae","Green algae",NULL
"DTR_010862","IMG/M",9284,45,0,0,0,16,"Terrestrial","Soil","NA",NULL
"DTR_011034","IMG/M",18791,49,2,0,1,31,"Host-Associated","Algae","Green algae",NULL
"DTR_011095","IMG/M",12844,48,1,0,0,18,"Host-Associated","Algae","Green algae",NULL
"DTR_011097","IMG/M",5792,22,0,0,0,7,"Host-Associated","Algae","Green algae",NULL
"DTR_011241","IMG/M",4692,66,1,0,0,6,"Terrestrial","Soil","NA",NULL
"DTR_011528","IMG/M",14358,101,4,0,0,13,"Aquatic","Non-marine saline","Hypersaline",NULL
"DTR_011691","IMG/M",8182,79,1,0,0,11,"Terrestrial","Soil","Loam",NULL
"DTR_011740","IMG/M",10991,87,7,1,0,9,"Terrestrial","Oil reservoir","NA","GCA_000881375.1"
"DTR_011786","IMG/M",10166,56,5,1,0,11,"Terrestrial","Oil reservoir","NA",NULL
"DTR_012189","IMG/M",9876,311,2,0,0,12,"Aquatic","Marine","Intertidal zone",NULL
"DTR_012549","IMG/M",16525,127,12,0,0,15,"Aquatic","Freshwater","Lentic",NULL
"DTR_012568","IMG/M",4450,127,1,0,0,9,"Aquatic","Freshwater","Lentic",NULL
"DTR_012592","IMG/M",10035,79,2,0,0,13,"Aquatic","Marine","Wetlands",NULL
"DTR_012617","IMG/M",4450,127,1,0,0,9,"Aquatic","Freshwater","Lentic",NULL
"DTR_012667","IMG/M",18705,74,4,0,0,22,"Terrestrial","Soil","Loam",NULL
"DTR_012800","IMG/M",3216,89,1,0,0,2,"Aquatic","Marine","Neritic zone",NULL
"DTR_012823","IMG/M",3223,80,1,0,0,7,"Host-Associated","Invertebrates","Digestive system",NULL
"DTR_012954","IMG/M",17698,20,7,0,0,18,"Aquatic","Marine","Neritic zone",NULL
"DTR_012962","IMG/M",6944,77,3,0,0,1,"Aquatic","Marine","Neritic zone",NULL
"DTR_012992","IMG/M",2223,101,1,0,0,1,"Aquatic","Marine","Neritic zone",NULL
"DTR_013019","IMG/M",4896,86,1,0,0,6,"Aquatic","Marine","Neritic zone",NULL
"DTR_013061","IMG/M",11474,90,2,0,0,11,"Aquatic","Marine","Neritic zone",NULL
"DTR_013460","IMG/M",4228,97,1,0,0,2,"Aquatic","Non-marine saline","Saline",NULL
"DTR_013601","IMG/M",9302,59,1,0,0,12,"Aquatic","Marine","Oceanic",NULL
"DTR_013602","IMG/M",9256,101,1,0,0,13,"Aquatic","Marine","Oceanic",NULL
"DTR_013614","IMG/M",6931,1208,0,0,0,8,"Aquatic","Marine","Oceanic",NULL
"DTR_013615","IMG/M",6357,101,0,0,0,8,"Aquatic","Marine","Oceanic",NULL
"DTR_013616","IMG/M",6190,212,0,0,0,8,"Aquatic","Marine","Oceanic",NULL
"DTR_013626","IMG/M",5267,553,1,0,0,10,"Aquatic","Marine","Oceanic",NULL
"DTR_013634","IMG/M",4579,43,1,0,0,7,"Aquatic","Marine","Oceanic",NULL
"DTR_013691","IMG/M",10292,1270,0,0,0,13,"Aquatic","Marine","Oceanic",NULL
"DTR_013692","IMG/M",9393,250,2,0,0,12,"Aquatic","Marine","Oceanic",NULL
"DTR_013693","IMG/M",9312,101,1,0,0,13,"Aquatic","Marine","Oceanic",NULL
"DTR_013703","IMG/M",6463,623,0,0,0,8,"Aquatic","Marine","Oceanic",NULL
"DTR_013828","IMG/M",10917,47,1,0,0,12,"Aquatic","Marine","Oceanic",NULL
"DTR_013831","IMG/M",9540,172,0,0,0,19,"Aquatic","Marine","Oceanic",NULL
"DTR_013837","IMG/M",8134,40,2,0,0,8,"Aquatic","Marine","Oceanic",NULL
"DTR_013842","IMG/M",6242,402,0,0,0,7,"Aquatic","Marine","Oceanic",NULL
"DTR_013892","IMG/M",10844,74,1,0,0,15,"Terrestrial","Soil","Loam",NULL
"DTR_014038","IMG/M",10693,21,3,1,0,12,"Host-Associated","Invertebrates","Digestive system",NULL
"DTR_014041","IMG/M",9430,89,5,0,0,6,"Host-Associated","Invertebrates","Digestive system",NULL
"DTR_014173","IMG/M",17738,87,2,1,1,21,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_014177","IMG/M",15548,86,2,0,0,18,"Engineered","Wastewater","Industrial wastewater","GCA_002605585.1"
"DTR_014304","IMG/M",6748,67,1,0,0,11,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_014419","IMG/M",10244,874,0,0,0,20,"Aquatic","Marine","Oceanic",NULL
"DTR_014421","IMG/M",9547,94,1,0,0,14,"Aquatic","Marine","Oceanic",NULL
"DTR_014422","IMG/M",9531,377,1,0,0,12,"Aquatic","Marine","Oceanic",NULL
"DTR_014423","IMG/M",9438,191,1,0,0,12,"Aquatic","Marine","Oceanic",NULL
"DTR_014426","IMG/M",9139,101,0,0,0,12,"Aquatic","Marine","Oceanic",NULL
"DTR_014439","IMG/M",6991,1391,1,0,0,8,"Aquatic","Marine","Oceanic",NULL
"DTR_014488","IMG/M",15222,26,8,0,0,9,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_014583","IMG/M",9126,1023,1,0,0,13,"Terrestrial","Soil","Loam",NULL
"DTR_014869","IMG/M",9247,99,1,0,0,16,"Host-Associated","Mammals","Digestive system",NULL
"DTR_014880","IMG/M",7629,99,1,0,0,7,"Host-Associated","Mammals","Digestive system",NULL
"DTR_014881","IMG/M",7614,99,3,0,0,10,"Host-Associated","Mammals","Digestive system",NULL
"DTR_014900","IMG/M",6148,69,1,0,0,8,"Host-Associated","Mammals","Digestive system",NULL
"DTR_014920","IMG/M",5167,99,2,0,0,4,"Host-Associated","Mammals","Digestive system",NULL
"DTR_015200","IMG/M",19103,87,3,0,0,17,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_015204","IMG/M",17292,95,10,0,0,17,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_015206","IMG/M",16733,781,2,0,0,28,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_015220","IMG/M",8896,81,1,0,0,11,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_015222","IMG/M",8756,87,3,0,0,6,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_015317","IMG/M",2343,66,1,0,0,1,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_015744","IMG/M",4821,69,2,0,0,9,"Aquatic","Marine","Hydrothermal vents","GCA_003544615.1"
"DTR_015748","IMG/M",4752,91,1,0,0,10,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_015763","IMG/M",4483,91,1,0,0,11,"Aquatic","Marine","Hydrothermal vents","GCA_004203915.1"
"DTR_015775","IMG/M",4215,91,1,0,0,9,"Aquatic","Marine","Hydrothermal vents","GCA_004203915.1"
"DTR_015834","IMG/M",3442,91,1,0,0,7,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_015842","IMG/M",3343,91,1,0,0,7,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_015907","IMG/M",2980,91,4,0,0,1,"Aquatic","Marine","Hydrothermal vents","GCA_002615085.1"
"DTR_016014","IMG/M",2688,91,1,0,0,4,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_016128","IMG/M",2466,91,1,0,0,3,"Aquatic","Marine","Hydrothermal vents","GCA_004206675.1"
"DTR_016134","IMG/M",2453,91,1,0,0,4,"Aquatic","Marine","Hydrothermal vents","GCA_004206675.1"
"DTR_016499","IMG/M",4916,91,1,0,0,9,"Aquatic","Marine","Hydrothermal vents","GCA_004203695.1"
"DTR_016503","IMG/M",4842,91,2,0,0,10,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_016505","IMG/M",4825,91,2,0,0,11,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_016507","IMG/M",4807,91,1,0,0,11,"Aquatic","Marine","Hydrothermal vents","GCA_004200615.1"
"DTR_016509","IMG/M",4789,69,1,0,0,10,"Aquatic","Marine","Hydrothermal vents","GCA_004200615.1"
"DTR_016510","IMG/M",4785,91,1,0,0,10,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_016514","IMG/M",4717,91,1,0,0,10,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_016538","IMG/M",4194,91,1,0,0,7,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_016580","IMG/M",3531,91,1,0,0,7,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_016714","IMG/M",2687,91,1,0,0,4,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_017198","IMG/M",8670,91,1,0,0,9,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_017223","IMG/M",6565,91,2,0,0,7,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_017281","IMG/M",4801,91,1,0,0,10,"Aquatic","Marine","Hydrothermal vents","GCA_003544655.1"
"DTR_017283","IMG/M",4796,91,2,0,0,10,"Aquatic","Marine","Hydrothermal vents","GCA_003544615.1"
"DTR_017284","IMG/M",4796,91,1,0,0,8,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_017289","IMG/M",4768,91,2,0,0,10,"Aquatic","Marine","Hydrothermal vents","GCA_004203715.1"
"DTR_017351","IMG/M",4390,91,1,0,0,10,"Aquatic","Marine","Hydrothermal vents","GCA_003544655.1"
"DTR_017376","IMG/M",4269,91,1,0,0,8,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_017450","IMG/M",3868,91,1,0,0,8,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_017511","IMG/M",3649,91,1,0,0,7,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_017571","IMG/M",3478,91,1,0,0,5,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_017655","IMG/M",3227,91,1,0,0,5,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_017707","IMG/M",3128,91,1,0,0,5,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_018109","IMG/M",2696,91,1,0,0,3,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_018115","IMG/M",2689,91,1,0,0,3,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_018252","IMG/M",2575,91,1,0,0,3,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_018325","IMG/M",2524,91,1,0,0,4,"Aquatic","Marine","Hydrothermal vents","GCA_004206675.1"
"DTR_018367","IMG/M",2494,91,1,0,0,5,"Aquatic","Marine","Hydrothermal vents","GCA_004201135.1"
"DTR_018420","IMG/M",2466,91,1,0,0,3,"Aquatic","Marine","Hydrothermal vents","GCA_004206675.1"
"DTR_018446","IMG/M",2453,91,1,0,0,4,"Aquatic","Marine","Hydrothermal vents","GCA_004206675.1"
"DTR_019780","IMG/M",4886,91,1,0,0,11,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_019784","IMG/M",4881,91,1,0,0,10,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_019794","IMG/M",4811,91,1,0,0,9,"Aquatic","Marine","Hydrothermal vents","GCA_004200615.1"
"DTR_019807","IMG/M",4762,91,1,0,0,11,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_019809","IMG/M",4752,91,1,0,0,10,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_019810","IMG/M",4749,91,1,0,0,11,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_019821","IMG/M",4716,91,1,0,0,9,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_019857","IMG/M",4505,91,1,0,0,8,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_019872","IMG/M",4414,91,1,0,0,6,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_019902","IMG/M",4273,91,0,0,0,9,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_019919","IMG/M",4217,91,1,0,0,8,"Aquatic","Marine","Hydrothermal vents","GCA_004203915.1"
"DTR_020161","IMG/M",3349,91,1,0,0,3,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_020261","IMG/M",3128,91,1,0,0,4,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_020638","IMG/M",2666,91,1,0,0,5,"Aquatic","Marine","Hydrothermal vents","GCA_004197895.1"
"DTR_020779","IMG/M",2532,91,1,0,0,6,"Aquatic","Marine","Hydrothermal vents","GCA_004200055.1"
"DTR_020879","IMG/M",2466,91,1,0,0,3,"Aquatic","Marine","Hydrothermal vents","GCA_004203455.1"
"DTR_022117","IMG/M",18709,78,4,0,0,22,"Terrestrial","Soil","Loam",NULL
"DTR_022268","IMG/M",9839,47,2,0,0,10,"Aquatic","Marine","Oceanic",NULL
"DTR_022300","IMG/M",8971,65,1,0,0,10,"Aquatic","Marine","Oceanic",NULL
"DTR_022403","IMG/M",7530,27,2,1,1,5,"Host-Associated","Invertebrates","Digestive system",NULL
"DTR_022509","IMG/M",7529,26,2,1,1,5,"Host-Associated","Invertebrates","Digestive system",NULL
"DTR_022678","IMG/M",9085,82,3,0,0,6,"Aquatic","Marine","Oceanic",NULL
"DTR_022856","IMG/M",16023,94,3,0,0,24,"Aquatic","Marine","Intertidal zone",NULL
"DTR_022901","IMG/M",12624,95,2,0,0,14,"Engineered","Bioreactor","NA","GCA_002620965.1"
"DTR_022902","IMG/M",10694,239,1,0,0,13,"Engineered","Bioreactor","NA",NULL
"DTR_023169","IMG/M",4240,123,1,0,0,8,"Aquatic","Non-marine saline","Hypersaline",NULL
"DTR_023342","IMG/M",10702,93,4,0,0,7,"Engineered","Bioreactor","NA",NULL
"DTR_023348","IMG/M",8360,93,1,0,0,9,"Engineered","Bioreactor","NA",NULL
"DTR_023711","IMG/M",15863,59,5,2,0,15,"Host-Associated","Mammals","Digestive system",NULL
"DTR_024048","IMG/M",18317,37,12,0,0,12,"Host-Associated","Algae","Red algae",NULL
"DTR_024212","IMG/M",12445,27,4,0,0,23,"Aquatic","Marine","Oceanic",NULL
"DTR_024256","IMG/M",16348,104,1,0,0,22,"Aquatic","Marine","Intertidal zone",NULL
"DTR_024263","IMG/M",12465,47,4,0,0,23,"Aquatic","Marine","Intertidal zone",NULL
"DTR_024296","IMG/M",6551,104,2,0,0,7,"Aquatic","Marine","Intertidal zone",NULL
"DTR_024470","IMG/M",3640,86,1,0,0,4,"Terrestrial","Soil","NA",NULL
"DTR_024522","IMG/M",16191,67,2,0,0,22,"Aquatic","Freshwater","Lentic",NULL
"DTR_024524","IMG/M",13477,82,1,0,0,26,"Aquatic","Freshwater","Lentic",NULL
"DTR_024526","IMG/M",11339,61,6,0,0,14,"Aquatic","Freshwater","Lentic",NULL
"DTR_024576","IMG/M",11339,61,6,0,0,14,"Aquatic","Freshwater","Lentic",NULL
"DTR_024606","IMG/M",13367,92,2,0,0,20,"Terrestrial","Soil","Loam",NULL
"DTR_024610","IMG/M",6631,30,2,0,0,14,"Terrestrial","Soil","Loam",NULL
"DTR_024670","IMG/M",10519,46,4,1,0,11,"Aquatic","Freshwater","Groundwater",NULL
"DTR_024715","IMG/M",13477,82,1,0,0,26,"Aquatic","Freshwater","Lentic",NULL
"DTR_024750","IMG/M",8445,83,2,0,0,9,"Terrestrial","Soil","NA",NULL
"DTR_025120","IMG/M",4727,101,1,0,0,5,"Terrestrial","Soil","Loam",NULL
"DTR_025200","IMG/M",18685,92,5,0,0,18,"Terrestrial","Soil","Loam","GCA_003341215.1"
"DTR_025215","IMG/M",4742,116,1,0,0,5,"Terrestrial","Soil","Loam",NULL
"DTR_025247","IMG/M",12772,65,3,0,0,12,"Host-Associated","Invertebrates","Digestive system",NULL
"DTR_025379","IMG/M",10501,85,2,0,0,12,"Host-Associated","Invertebrates","NA",NULL
"DTR_025401","IMG/M",10703,77,1,0,0,12,"Terrestrial","Soil","Loam",NULL
"DTR_025412","IMG/M",3729,78,2,0,0,5,"Terrestrial","Soil","Loam",NULL
"DTR_025459","IMG/M",10517,101,2,0,0,12,"Host-Associated","Invertebrates","NA",NULL
"DTR_025673","IMG/M",10513,97,2,0,0,12,"Host-Associated","Invertebrates","NA",NULL
"DTR_026003","IMG/M",6814,72,1,0,0,6,"Engineered","Biotransformation","Mixed alcohol bioreactor",NULL
"DTR_026116","IMG/M",2127,97,1,0,0,3,"Engineered","Biotransformation","Mixed alcohol bioreactor","GCA_004779625.1"
"DTR_026197","IMG/M",6292,93,1,0,0,5,"Engineered","Biotransformation","Mixed alcohol bioreactor",NULL
"DTR_026198","IMG/M",6284,85,1,0,0,5,"Engineered","Biotransformation","Mixed alcohol bioreactor",NULL
"DTR_026485","IMG/M",9877,73,3,0,0,11,"Host-Associated","Invertebrates","Digestive system",NULL
"DTR_026491","IMG/M",9458,100,4,0,0,6,"Host-Associated","Invertebrates","Digestive system",NULL
"DTR_026768","IMG/M",9442,101,5,0,0,6,"Host-Associated","Invertebrates","Digestive system",NULL
"DTR_026783","IMG/M",11264,77,1,0,0,2,"Aquatic","Marine","Oceanic",NULL
"DTR_026992","IMG/M",12760,25,2,1,0,16,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_027003","IMG/M",9515,25,1,0,0,18,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_027024","IMG/M",9696,25,1,0,0,14,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_027064","IMG/M",6909,25,1,0,0,7,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_027076","IMG/M",11949,25,2,0,0,14,"Engineered","Wastewater","Industrial wastewater",NULL
"DTR_027294","IMG/M",6319,99,3,1,0,11,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_027582","IMG/M",16611,99,4,0,1,24,"Aquatic","Marine","Hydrothermal vents",NULL
"DTR_027643","IMG/M",3752,101,2,0,0,5,"Terrestrial","Soil","Loam",NULL
"DTR_027718","IMG/M",15214,101,1,0,0,28,"Aquatic","Freshwater","Lentic",NULL
"DTR_027719","IMG/M",15194,81,1,0,0,27,"Aquatic","Freshwater","Lentic",NULL
"DTR_027775","IMG/M",13870,81,1,0,0,26,"Aquatic","Freshwater","Lentic",NULL
"DTR_027776","IMG/M",13639,101,1,0,0,27,"Aquatic","Freshwater","Lentic",NULL
"DTR_027779","IMG/M",11339,61,6,0,0,14,"Aquatic","Freshwater","Lentic",NULL
"DTR_027977","IMG/M",15244,93,7,0,0,9,"Aquatic","Freshwater","Lentic",NULL
"DTR_028042","IMG/M",3565,77,1,0,0,2,"Aquatic","Freshwater","Lentic",NULL
"DTR_028342","IMG/M",9850,57,5,0,0,7,"Host-Associated","Invertebrates","Digestive system",NULL
"DTR_028462","IMG/M",10624,78,1,0,0,14,"Terrestrial","Soil","Loam",NULL
"DTR_028607","IMG/M",2527,28,1,0,0,4,"Host-Associated","Invertebrates","Digestive system",NULL
"DTR_028745","IMG/M",10054,91,2,0,1,10,"Terrestrial","Volcanic","Fumaroles",NULL
"DTR_028788","IMG/M",6450,74,0,0,0,7,"Aquatic","Marine","Oceanic",NULL
"DTR_028800","IMG/M",9445,525,2,0,0,11,"Aquatic","Marine","Oceanic",NULL
"DTR_028805","IMG/M",13498,2290,4,0,0,20,"Aquatic","Marine","Oceanic",NULL
"DTR_028871","IMG/M",9672,752,2,0,0,12,"Aquatic","Marine","Oceanic",NULL
"DTR_028873","IMG/M",8071,295,1,0,0,10,"Aquatic","Marine","Oceanic",NULL
"DTR_029315","IMG/M",10996,1822,3,0,0,14,"Terrestrial","Soil","Loam",NULL
"DTR_029577","IMG/M",11279,101,5,0,0,15,"Aquatic","Marine","Oceanic",NULL
"DTR_029586","IMG/M",6358,46,0,0,0,7,"Aquatic","Marine","Oceanic",NULL
"DTR_029598","IMG/M",3556,63,1,0,0,5,"Aquatic","Marine","Oceanic",NULL
"DTR_029603","IMG/M",2830,93,1,0,0,1,"Aquatic","Marine","Oceanic","GCA_000891035.1"
"DTR_029625","IMG/M",11305,97,5,0,0,15,"Aquatic","Marine","Oceanic",NULL
"DTR_029648","IMG/M",12430,170,2,0,0,19,"Aquatic","Marine","Oceanic",NULL
"DTR_029778","IMG/M",4691,65,1,0,0,6,"Terrestrial","Soil","Loam",NULL
"DTR_029782","IMG/M",3752,101,2,0,0,5,"Terrestrial","Soil","Loam",NULL
"DTR_029875","IMG/M",10440,58,1,0,1,18,"Terrestrial","Soil","NA",NULL
"DTR_029917","IMG/M",13797,2364,6,0,0,9,"Engineered","Lab enrichment","Defined media",NULL
"DTR_029947","IMG/M",6531,87,1,0,0,9,"Engineered","Lab enrichment","Defined media",NULL
"DTR_030259","IMG/M",3774,26,1,0,0,6,"Host-Associated","Mammals","Digestive system",NULL
"DTR_030559","IMG/M",8092,24,2,0,0,16,"Engineered","Lab enrichment","Defined media",NULL
"DTR_030562","IMG/M",8710,25,2,0,0,11,"Engineered","Lab enrichment","Defined media",NULL
